literal	 category	 regex	 rule	
not reveal	PROBABLE_NEGATED_EXISTENCE		forward
can rule the patient out for	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule her out for	PROBABLE_NEGATED_EXISTENCE	r'''adequate\W+to\W+rule\W+(her|him)\W+out\W+for'''	forward
sufficient to rule her out for	PROBABLE_NEGATED_EXISTENCE	r'''sufficient\W+to\W+rule\W+(her|him)\W+out\W+for'''	forward
adequate to rule out	PROBABLE_NEGATED_EXISTENCE		forward
can rule the patient out against	PROBABLE_NEGATED_EXISTENCE	r'''can\W+rule\W+(her|him)\W+out\W+against'''	forward
can rule him out against	PROBABLE_NEGATED_EXISTENCE	r'''can\W+rule\W+(her|him)\W+out\W+against'''	forward
rather than	PROBABLE_NEGATED_EXISTENCE		forward
nothing	PROBABLE_NEGATED_EXISTENCE		forward
not exhibit	PROBABLE_NEGATED_EXISTENCE		forward
checked for	PROBABLE_NEGATED_EXISTENCE		forward
evaluate for	PROBABLE_NEGATED_EXISTENCE		forward
can rule the patient out	PROBABLE_NEGATED_EXISTENCE		forward
no findings to indicate	PROBABLE_NEGATED_EXISTENCE		forward
free	PROBABLE_NEGATED_EXISTENCE		backward
sufficient to rule him out	PROBABLE_NEGATED_EXISTENCE		forward
can rule out against	PROBABLE_NEGATED_EXISTENCE		forward
no sign of	PROBABLE_NEGATED_EXISTENCE		forward
no definite	PROBABLE_NEGATED_EXISTENCE	r'''no[\W+]*definite'''	forward
without sign of	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule the patient out	PROBABLE_NEGATED_EXISTENCE		forward
can rule her out	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule him out for	PROBABLE_NEGATED_EXISTENCE		forward
no significant	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule him out for	PROBABLE_NEGATED_EXISTENCE		forward
not feel	PROBABLE_NEGATED_EXISTENCE		forward
no obvious	PROBABLE_NEGATED_EXISTENCE		forward
no complaints of	PROBABLE_NEGATED_EXISTENCE		forward
not associated with	PROBABLE_NEGATED_EXISTENCE		forward
can rule out for	PROBABLE_NEGATED_EXISTENCE		forward
can rule her out for	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule out for	PROBABLE_NEGATED_EXISTENCE		forward
not see	PROBABLE_NEGATED_EXISTENCE		forward
fails to reveal	PROBABLE_NEGATED_EXISTENCE		forward
to exclude	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule the patient out for	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule out	PROBABLE_NEGATED_EXISTENCE		forward
unremarkable for	PROBABLE_NEGATED_EXISTENCE		forward
not appreciate	PROBABLE_NEGATED_EXISTENCE		forward
not complain of	PROBABLE_NEGATED_EXISTENCE		forward
not demonstrate	PROBABLE_NEGATED_EXISTENCE		forward
not to be	PROBABLE_NEGATED_EXISTENCE		forward
unlikely	PROBABLE_NEGATED_EXISTENCE		backward
absence of	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule her out	PROBABLE_NEGATED_EXISTENCE		forward
can rule him out for	PROBABLE_NEGATED_EXISTENCE		forward
denying	PROBABLE_NEGATED_EXISTENCE		forward
no signs of	PROBABLE_NEGATED_EXISTENCE		forward
no abnormal	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule the patient out	PROBABLE_NEGATED_EXISTENCE		forward
without indication of	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule her out	PROBABLE_NEGATED_EXISTENCE		forward
adequate to rule the patient out for	PROBABLE_NEGATED_EXISTENCE		forward
cannot see	PROBABLE_NEGATED_EXISTENCE		forward
no cause of	PROBABLE_NEGATED_EXISTENCE		forward
no evidence of	PROBABLE_NEGATED_EXISTENCE		forward
not known to have	PROBABLE_NEGATED_EXISTENCE		forward
can rule her out against	PROBABLE_NEGATED_EXISTENCE	r'''can\W+rule\W+(her|him)\W+out\W+against'''	forward
sufficient to rule her out for	PROBABLE_NEGATED_EXISTENCE	r'''sufficient\W+to\W+rule\W+(her|him)\W+out\W+for'''	forward
sufficient to rule the patient out against	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule out against	PROBABLE_NEGATED_EXISTENCE		forward
sufficient to rule out for	PROBABLE_NEGATED_EXISTENCE		forward
test for	PROBABLE_NEGATED_EXISTENCE		forward
differential diagnosis would include	PROBABLE_EXISTENCE	r'''differential\W+((diagnosis|considerations)\W+)?((would|could)\W+includ[a-z]*)?'''	forward
concerning for	PROBABLE_EXISTENCE		forward
is in the differential	PROBABLE_EXISTENCE	r'''is\W+in\W+the\W+differential'''	backward
should be considered	PROBABLE_EXISTENCE		bidirectional
seen best	PROBABLE_EXISTENCE		
consistent with	PROBABLE_EXISTENCE		forward
evidence	PROBABLE_EXISTENCE		forward
suggestive	PROBABLE_EXISTENCE		forward
appear	PROBABLE_EXISTENCE	r'''\bappear\b'''	bidirectional
may represent	PROBABLE_EXISTENCE	r'''(may|might)\W+represent'''	forward
appears to be	PROBABLE_EXISTENCE		forward
compatible with	PROBABLE_EXISTENCE		forward
convincing	PROBABLE_EXISTENCE		forward
suggest	PROBABLE_EXISTENCE	r'''\bsuggest\b'''	forward
reveal	PROBABLE_EXISTENCE	r'''\reveal(s|ed)\b'''	forward
represents	PROBABLE_EXISTENCE		forward
certain if	UNCERTAINTY		forward
suspicious	PROBABLE_EXISTENCE		forward
seen	PROBABLE_EXISTENCE	r'''(seen|visualized|observed)'''	backward
noted	PROBABLE_EXISTENCE		backward
worrisome	PROBABLE_EXISTENCE		forward
identified	PROBABLE_EXISTENCE		backward
suspicous	PROBABLE_EXISTENCE		forward
likely	PROBABLE_EXISTENCE		bidirectional
versus	PROBABLE_EXISTENCE		bidirectional
equivocal	PROBABLE_EXISTENCE		bidirectional
involving	CONJ		terminate
as a secondary cause for	CONJ		terminate
as the secondary etiology for	CONJ		terminate
as a secondary source of	CONJ		terminate
as an etiology of	CONJ		terminate
as the secondary reason of	CONJ		terminate
as the secondary origin of	CONJ		terminate
as an secondary reason for	CONJ		terminate
as an secondary reason of	CONJ		terminate
reason for	CONJ		terminate
still	CONJ		terminate
source of	CONJ		terminate
except	CONJ		terminate
etiology of	CONJ		terminate
as a cause of	CONJ		terminate
as a source of	CONJ		terminate
as the secondary etiology of	CONJ		terminate
as an reason for	CONJ		terminate
as a etiology for	CONJ		terminate
as a secondary origin for	CONJ		terminate
etiology for	CONJ		terminate
reasons for	CONJ		terminate
as a secondary cause of	CONJ		terminate
aside from	CONJ		terminate
as the origin of	CONJ		terminate
though	CONJ		terminate
which	CONJ		terminate
cause of	CONJ		terminate
as the secondary cause for	CONJ		terminate
as a source for	CONJ		terminate
as an origin for	CONJ		terminate
as a secondary origin of	CONJ		terminate
as the etiology for	CONJ		terminate
other possibilities of	CONJ		terminate
as an etiology for	CONJ		terminate
origins for	CONJ		terminate
as the secondary reason for	CONJ		terminate
as the secondary origin for	CONJ		terminate
as an reason of	CONJ		terminate
origin for	CONJ		terminate
as a cause for	CONJ		terminate
however	CONJ		terminate
secondary to	CONJ		terminate
although	CONJ		terminate
as an secondary source of	CONJ		terminate
as an source of	CONJ		terminate
as an cause for	CONJ		terminate
as the secondary cause of	CONJ		terminate
as a secondary reason of	CONJ		terminate
as the etiology of	CONJ		terminate
as an source for	CONJ		terminate
as an secondary etiology of	CONJ		terminate
reasons of	CONJ		terminate
as an cause of	CONJ		terminate
as an secondary cause for	CONJ		terminate
as a reason of	CONJ		terminate
but	CONJ		terminate
as the secondary source of	CONJ		terminate
as a etiology of	CONJ		terminate
reason of	CONJ		terminate
causes for	CONJ		terminate
yet	CONJ		terminate
as a secondary etiology for	CONJ		terminate
as the origin for	CONJ		terminate
as the reason for	CONJ		terminate
trigger event for	CONJ		terminate
as the reason of	CONJ		terminate
cause for	CONJ		terminate
as a reason for	CONJ		terminate
as an secondary cause of	CONJ		terminate
sources of	CONJ		terminate
as the cause for	CONJ		terminate
as the source of	CONJ		terminate
as the source for	CONJ		terminate
origin of	CONJ		terminate
causes of	CONJ		terminate
sources for	CONJ		terminate
as a secondary source for	CONJ		terminate
apart from	CONJ		terminate
source for	CONJ		terminate
as an secondary origin for	CONJ		terminate
origins of	CONJ		terminate
as an origin of	CONJ		terminate
as an secondary source for	CONJ		terminate
nevertheless	CONJ		terminate
as the secondary source for	CONJ		terminate
as a secondary reason for	CONJ		terminate
as an secondary etiology for	CONJ		terminate
as the cause of	CONJ		terminate
as a secondary etiology of	CONJ		terminate
as an secondary origin of	CONJ		terminate
